,data,id_cliente,propriedade,produtor,insumos,valor_venda
0,2021-01-01,447,12.0,HF,Sementes,2894.4
1,2021-01-01,462,8.4,HF,Defensivo,30861.9
2,2021-01-01,529,18.0,HF,Sementes,4783.8
3,2021-01-01,801,13.2,HF,Sementes,8743.5
4,2021-01-01,801,13.2,HF,Defensivo,25207.21
5,2021-01-01,1238,188.64,Café,Defensivo,61289.22
6,2021-01-01,1659,20.4,HF,Defensivo,44614.39
7,2021-01-01,2893,15.6,HF,Fertilizantes,15432.5
8,2021-01-01,3194,16.8,HF,Fertilizantes,2674.97
9,2021-01-02,70,13.2,HF,Defensivo,48248.1
10,2021-01-02,166,9.6,HF,Fertilizantes,8462.15
11,2021-01-02,209,9.6,HF,Fertilizantes,7741.97
12,2021-01-02,450,20.4,HF,Defensivo,48461.85
13,2021-01-02,1241,15.6,HF,Defensivo,56795.58
14,2021-01-02,1327,8.4,HF,Defensivo,26342.35
15,2021-01-02,1343,9.6,HF,Fertilizantes,2340.6
16,2021-01-02,2838,15.6,HF,Fertilizantes,6790.3
17,2021-01-02,2915,8.4,HF,Defensivo,21730.74
18,2021-01-02,3142,20.4,HF,Sementes,6783.75
19,2021-01-02,4382,20.4,HF,Fertilizantes,5787.19
20,2021-01-02,4614,16.8,HF,Defensivo,32195.57
21,2021-01-03,175,7.2,HF,Defensivo,252.02
22,2021-01-03,953,81.6,Café,Fertilizantes,11308.8
23,2021-01-03,1302,8.4,HF,Fertilizantes,6018.68
24,2021-01-03,2253,7.2,HF,Fertilizantes,3472.31
25,2021-01-03,2384,2488.32,Café,Fertilizantes,2101369.6
26,2021-01-03,2670,13.2,HF,Fertilizantes,2314.88
27,2021-01-03,2961,10.8,HF,Fertilizantes,8847.97
28,2021-01-03,3416,13.2,HF,Fertilizantes,5915.79
29,2021-01-03,3537,158.4,HF,Fertilizantes,54013.75
30,2021-01-03,3653,18.0,HF,Fertilizantes,3600.92
31,2021-01-03,3697,86.4,Café,Fertilizantes,69160.0
32,2021-01-03,3978,7.2,HF,Fertilizantes,5658.58
33,2021-01-03,4095,8.4,HF,Sementes,964.8
34,2021-01-03,4296,111.6,Café,Fertilizantes,2827.2
35,2021-01-03,4353,16.8,HF,Sementes,10713.3
36,2021-01-03,4962,9.6,HF,Fertilizantes,1080.28
37,2021-01-04,268,15.6,HF,Defensivo,38062.3
38,2021-01-04,642,12.0,HF,Defensivo,34865.7
39,2021-01-04,1377,18.0,HF,Sementes,8160.6
40,2021-01-04,1607,18.0,HF,Fertilizantes,720.18
41,2021-01-04,1745,87.6,Café,Fertilizantes,32102.4
42,2021-01-04,1838,9.6,HF,Defensivo,26747.84
43,2021-01-04,1989,15.6,HF,Defensivo,63783.4
44,2021-01-04,2212,16.8,HF,Defensivo,42799.27
45,2021-01-04,2746,1859.04,Café,Defensivo,962970.17
46,2021-01-04,2970,13.2,HF,Fertilizantes,257.21
47,2021-01-04,3035,1347.84,Café,Defensivo,278524.16
48,2021-01-04,3044,20.4,HF,Defensivo,82257.55
49,2021-01-04,3392,9.6,HF,Defensivo,24798.93
50,2021-01-04,3743,16.8,HF,Fertilizantes,2006.22
51,2021-01-04,4963,57.6,Café,Defensivo,23594.02
52,2021-01-05,450,20.4,HF,Sementes,1055.25
53,2021-01-05,476,14.4,HF,Fertilizantes,13863.53
